title,url,discounted_price,original_price
Pair of FXT Ankle-Compression Socks HHI-557139,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/pair-of-fxt-ankle-compression-socks-p-178050.html,$1.83,$3.80 
M5 Magnetic Sports BT 4.1 Waterproof Sports Earphones EEP-560947,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/m5-magnetic-sports-bt-41-waterproof-sports-earphones-p-178778.html,$3.00,$6.66 
64GB PU Leather USB 3.0 Flash Drive ECA-564314,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/64gb-pu-leather-usb-30-flash-drive-p-179960.html,$8.36,$15.95 
Mini Camera SQ11 Night Vision FOV140 1080P DV Video Recorder EVC-558775,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/mini-camera-sq11-night-vision-fov140-1080p-dv-video-recorder-p-179706.html,$8.94,$16.69 
Mini LED Key Finder Locator Find Lost Keys Chain Keychain Whistle Sound Control HHI-534396,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/mini-led-key-finder-locator-find-lost-keys-chain-keychain-whistle-sound-control-p-170166.html,$1.46,$3.12 
1/2 pcs Standard 1M Magnetic Charge Cable + Detachable Micro USB Metal Plug EPACB-487297,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/12-pcs-standard-1m-magnetic-charge-cable-detachable-micro-usb-metal-plug-p-156704.html,$2.73,$6.34 
Aluminum Cycling UV400 Polarized Sunglasses for Driving Cycling Running Golf HHI-558468,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/aluminum-cycling-uv400-polarized-sunglasses-for-driving-cycling-running-golf-p-178016.html,$3.61,$4.58 
Dual Arc Plasma USB Rechargeable Lighter HHI-554727,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/dual-arc-plasma-usb-rechargeable-lighter-p-176778.html,$8.64,$18.09 
I9 TWS Bluetooth V4.2 Earphones with Magnetic Charging Case EEP-556241,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/i9-tws-bluetooth-v42-earphones-with-magnetic-charging-case-p-177357.html,$11.69,$15.77 
8 LEDs USB Night Light for Laptop Keyboard EDT-562699,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/8-leds-usb-night-light-for-laptop-keyboard-p-179185.html,$1.70,$6.44 
I9 Fitness Tracker Smart Bracelet IP68 Heart Rate Blood Pressure Wristband E-545002-C18,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/i9-fitness-tracker-smart-bracelet-ip68-heart-rate-blood-pressure-wristband-p-176991.html,$11.02,$18.19 
GM320 Infrared Thermometer Non-Contact Laser Gun IR Thermometer EDT-528767,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/gm320-infrared-thermometer-non-contact-laser-gun-ir-thermometer-p-165306.html,$9.30,$18.51 
Adjustable Dial Vision -6D to +3D Myopia Eye Glasses EDT-555493,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/adjustable-dial-vision-6d-to-3d-myopia-eye-glasses-p-176913.html,$7.73,$16.17 
Shield 1080P Car DVR Night Vision Dashboard Video Recorder with G-sensor RCM-536805-C3,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/shield-1080p-car-dvr-night-vision-dashboard-video-recorder-with-g-sensor-p-170752.html,$12.02,$17.63 
Original Xiaomi Piston Dazzle Edition Earphones with Mic EEP-455477-C3,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/original-xiaomi-piston-dazzle-edition-earphones-with-mic-p-160055.html,$5.84,$6.71 
L-Line Magnetic Charging Cable 90 Degree LED Cable for iPhone EPACB-559659,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/l-line-magnetic-charging-cable-90-degree-led-cable-for-iphone-p-178373.html,$5.81,$6.22 
